=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.05.04 13:08:22 =~=~=~=~=~=~=~=~=~=~=~=

TEMPLATE - initialization

==========[ test START ]==========
ID;Real;Pred;Conf;Cycles;us
0;A;A;85.43;26995704;56241.05
1;A;A;98.27;26996484;56242.68
2;A;A;94.50;26995300;56240.21
3;A;A;94.26;26999227;56248.39
4;A;A;91.59;26994805;56239.18
5;A;A;85.38;26997001;56243.75
6;A;A;99.76;26995792;56241.23
7;A;A;97.06;26996170;56242.02
8;A;A;58.05;26999191;56248.32
9;B;B;52.79;26995629;56240.89
10;B;R;49.28;26994599;56238.75
11;B;B;67.49;26998065;56245.96
12;B;B;99.09;26993492;56236.44
13;B;B;81.03;26998270;56246.39
14;B;B;98.94;26995268;56240.14
15;B;B;86.36;26995098;56239.79
16;B;B;92.34;26997769;56245.35
17;B;B;95.26;26994261;56238.04
18;C;C;56.75;26996516;56242.74
19;C;C;86.69;26996121;56241.92
20;C;C;53.74;26998135;56246.12
21;C;C;94.29;26995821;56241.29
22;C;C;71.34;26998588;56247.06
23;C;O;42.72;26998163;56246.18
24;C;C;61.29;26996835;56243.41
25;C;C;81.02;26996284;56242.26
26;C;C;97.07;26998568;56247.02
27;D;A;80.45;26999650;56249.27
28;D;D;29.04;26995926;56241.51
29;D;D;41.24;26997932;56245.69
30;D;D;55.13;26996062;56241.80
31;D;D;54.69;26997138;56244.04
32;D;D;62.43;26997090;56243.94
33;D;D;67.77;26996307;56242.31
34;D;D;75.67;27001617;56253.37
35;D;D;76.16;26999939;56249.88
36;E;E;55.56;26999392;56248.73
37;E;E;87.26;26997768;56245.35
38;E;E;66.20;26996763;56243.26
39;E;E;89.45;27002258;56254.70
40;E;E;99.24;27000150;56250.31
41;E;E;87.89;26998487;56246.85
42;E;E;92.11;26997438;56244.66
43;E;E;88.47;26998414;56246.70
44;E;E;70.32;26999343;56248.63
45;F;F;90.71;26997007;56243.77
46;F;F;98.16;27000639;56251.33
47;F;F;84.28;26996223;56242.13
48;F;F;97.05;26998109;56246.06
49;F;F;86.49;26998202;56246.25
50;F;F;94.26;26998944;56247.80
51;F;F;90.66;26996718;56243.16
52;F;F;86.65;26998441;56246.75
53;F;F;97.54;26996578;56242.87
54;G;G;74.00;26996300;56242.29
55;G;G;58.60;26999108;56248.14
56;G;G;54.98;27001981;56254.12
57;G;P;46.61;26997524;56244.84
58;G;R;53.40;26996859;56243.46
59;G;G;39.37;26997188;56244.14
60;G;G;66.03;26995031;56239.65
61;G;O;49.03;26997847;56245.52
62;G;G;53.12;26994786;56239.14
63;H;H;98.70;26995911;56241.48
64;H;H;92.14;26994614;56238.78
65;H;H;85.03;26993866;56237.22
66;H;H;84.15;26998422;56246.71
67;H;H;93.03;26993858;56237.20
68;H;H;99.68;27000004;56250.01
69;H;H;99.87;26997958;56245.75
70;H;H;99.74;26995602;56240.84
71;I;I;99.99;26997204;56244.18
72;I;I;99.99;26998527;56246.93
73;I;I;99.99;26998503;56246.88
74;I;I;99.97;26997069;56243.89
75;I;I;99.83;27000268;56250.56
76;I;I;99.99;26995224;56240.05
77;I;I;99.74;26994026;56237.55
78;I;I;99.99;26994446;56238.43
79;I;I;99.98;26998518;56246.91
80;J;U;53.66;27002623;56255.46
81;J;J;76.68;26998103;56246.05
82;J;J;73.89;26994940;56239.46
83;J;V;79.46;26997263;56244.30
84;J;U;44.93;26996050;56241.77
85;J;J;37.76;26995774;56241.20
86;J;J;41.04;26997180;56244.12
87;J;T;80.40;26998115;56246.07
88;J;T;67.74;27001336;56252.79
89;K;K;98.15;26997426;56244.64
90;K;K;85.52;26997717;56245.24
91;K;E;84.74;27001356;56252.82
92;K;K;97.05;26996434;56242.57
93;K;R;57.66;26996472;56242.65
94;K;K;70.56;26999026;56247.97
95;K;K;99.68;26999934;56249.86
96;K;K;97.44;26994584;56238.71
97;K;K;81.87;27000343;56250.71
98;L;L;58.30;27000332;56250.69
99;L;I;82.58;26995328;56240.27
100;L;L;50.99;27002780;56255.79
101;L;L;62.09;27000042;56250.09
102;L;L;92.15;26996110;56241.89
103;L;L;87.86;26998217;56246.29
104;L;L;67.44;26997953;56245.73
105;L;L;66.83;26998384;56246.63
106;L;L;55.59;27000812;56251.69
107;M;A;58.83;26996832;56243.40
108;M;A;43.04;26996670;56243.06
109;M;M;68.02;26997756;56245.32
110;M;M;97.72;26999262;56248.46
111;M;M;69.23;26997766;56245.35
112;M;M;72.15;26996063;56241.80
113;M;N;77.49;27000291;56250.61
114;M;M;69.87;27000210;56250.44
115;M;N;71.92;26997124;56244.01
116;N;N;95.20;26999884;56249.76
117;N;N;98.03;26995251;56240.11
118;N;N;49.21;26998130;56246.11
119;N;N;98.70;26999056;56248.04
120;N;N;99.50;26997228;56244.23
121;N;N;97.23;26998796;56247.49
122;N;N;96.76;27001738;56253.62
123;N;N;96.19;26997280;56244.33
124;N;N;95.61;26995996;56241.66
125;O;O;59.76;27002151;56254.48
126;O;D;55.57;27000296;56250.62
127;O;O;49.17;26998778;56247.45
128;O;O;67.48;26997860;56245.54
129;O;O;81.89;27001440;56253.00
130;O;O;67.16;26995980;56241.62
131;O;O;77.25;26994716;56238.99
132;O;O;78.46;27000386;56250.80
133;O;O;72.31;26997900;56245.62
134;P;P;81.02;26996518;56242.75
135;P;P;80.75;27000686;56251.43
136;P;B;40.95;27000224;56250.46
137;P;P;82.44;26996028;56241.73
138;P;P;79.00;26997530;56244.86
139;P;P;65.30;26999375;56248.70
140;P;P;65.30;26995839;56241.33
141;P;P;88.33;26997546;56244.89
142;P;P;94.93;27000140;56250.29
143;P;P;77.85;26997742;56245.30
144;R;K;86.73;26995731;56241.11
145;R;R;66.02;26995932;56241.52
146;R;R;72.95;27001378;56252.87
147;R;B;47.45;26998830;56247.56
148;R;R;90.85;27000455;56250.95
149;R;B;93.57;26996774;56243.28
150;R;R;92.76;26996280;56242.25
151;R;R;77.89;26996226;56242.14
152;R;R;78.60;26998111;56246.07
153;S;S;60.44;26998093;56246.02
154;S;S;54.51;27000520;56251.08
155;S;S;37.51;26998294;56246.45
156;S;G;49.96;26995631;56240.90
157;S;G;50.33;26999128;56248.18
158;S;Š;41.62;27001136;56252.37
159;S;S;66.10;26997578;56244.95
160;S;S;36.43;26996925;56243.59
161;S;G;49.83;27001016;56252.12
162;T;T;92.52;26999790;56249.56
163;T;T;94.79;26999484;56248.93
164;T;T;81.62;27000192;56250.40
165;T;T;93.63;26998188;56246.23
166;T;T;82.63;26998130;56246.11
167;T;T;92.81;27000194;56250.40
168;T;T;99.60;26996628;56242.98
169;T;T;98.71;26997403;56244.59
170;T;T;98.84;26998118;56246.08
171;U;L;29.60;26995348;56240.31
172;U;U;75.51;26992894;56235.20
173;U;U;28.79;27000141;56250.29
174;U;U;82.17;26997509;56244.81
175;U;U;79.79;26995551;56240.73
176;U;U;90.63;26996264;56242.21
177;U;U;86.48;26997456;56244.70
178;U;U;83.06;26997160;56244.08
179;U;U;94.83;26999333;56248.61
180;V;V;86.46;26996995;56243.74
181;V;K;90.80;26995138;56239.87
182;V;V;45.85;27000106;56250.22
183;V;V;92.78;26998886;56247.68
184;V;V;89.91;27003480;56257.25
185;V;V;69.66;26998495;56246.87
186;V;V;74.41;26997978;56245.79
187;V;V;96.29;26998337;56246.54
188;V;V;99.34;26999760;56249.50
189;Z;Ž;59.99;26995828;56241.31
190;Z;Z;39.10;26998204;56246.26
191;Z;Ž;48.29;26999752;56249.48
192;Z;Ž;91.73;26996176;56242.04
193;Z;Z;51.51;26996308;56242.31
194;Z;Ž;92.20;27000972;56252.02
195;Z;Z;93.42;26998436;56246.74
196;Z;Z;97.48;26996424;56242.55
197;Z;Z;88.53;26997118;56244.00
198;Č;Č;75.16;26998187;56246.23
199;Č;Č;55.63;26995877;56241.41
200;Č;F;35.89;26998766;56247.43
201;Č;Č;45.11;26993494;56236.45
202;Č;Č;79.60;26995714;56241.07
203;Č;A;37.14;26997176;56244.12
204;Č;Č;86.89;26997187;56244.14
205;Č;Č;89.35;26998116;56246.07
206;Č;Č;98.38;27002923;56256.09
207;Š;Š;62.61;26999218;56248.37
208;Š;Š;48.37;27000006;56250.01
209;Š;Š;45.49;26996617;56242.95
210;Š;Š;79.60;27000055;56250.12
211;Š;Š;80.66;26995691;56241.02
212;Š;Š;73.99;27000552;56251.15
213;Š;Š;82.28;27002514;56255.24
214;Š;Š;84.04;26995324;56240.26
215;Š;Š;74.65;27001128;56252.35
216;Ž;Ž;99.64;26997966;56245.76
217;Ž;Ž;95.74;26997169;56244.10
218;Ž;Ž;88.42;26998904;56247.71
219;Ž;Ž;95.66;27000486;56251.01
220;Ž;Ž;94.94;26998508;56246.89
221;Ž;Ž;96.18;27001869;56253.89
222;Ž;Ž;96.32;27000207;56250.43
223;Ž;Ž;58.53;26996853;56243.44
224;Ž;Ž;83.33;27001452;56253.02
~ KONČNO POROČILO ~
Skupno vzorcev:      225
Pravilnih napovedi:  190
Splošna natančnost:  84.44%
-----------
Povprečen čas (ms):  57.00 ms
Povprečen čas (us):  56245.64 us
Skupni čas testa:    13106 ms
A;100.0%
B;88.9%
C;88.9%
Č;77.8%
D;88.9%
E;100.0%
F;100.0%
G;66.7%
H;100.0%
I;100.0%
J;44.4%
K;77.8%
L;88.9%
M;55.6%
N;100.0%
O;88.9%
P;90.0%
R;66.7%
S;55.6%
Š;100.0%
T;100.0%
U;88.9%
V;88.9%
Z;55.6%
Ž;100.0%
